Month,Channel,Sub-Channels,Product Name,Category,Qty,Sales
01-Dec-20,Marketplace,AMAZON,ALOE + AMLA JUICE 1 L,Juices," 1,116 "," 4,28,700 "
01-Dec-20,Marketplace,AMAZON,ALOE + GARCINIA JUICE 1 L,Juices," 3,003 "," 13,74,831 "
01-Dec-20,Marketplace,AMAZON,ALOE VERA JUICE 1 L,Juices," 2,962 "," 7,32,167 "
01-Dec-20,Marketplace,AMAZON,ALOE VERA SKIN GEL 500 GM,Gourmet Nutrition," 1,004 "," 3,77,100 "
01-Dec-20,Marketplace,AMAZON,NEEM JUICE 1 L,Juices, 555 ," 1,52,287 "
01-Dec-20,Marketplace,AMAZON,NONI JUICE 1 L,Juices, 874 ," 4,02,631 "
01-Dec-20,Marketplace,AMAZON,SLIM SHAKE - CHOCOLATE 500 GM,Functional nutrition, 658 ," 7,58,234 "
01-Dec-20,Marketplace,AMAZON,SLIM SHAKE - MANGO 500 GM,Functional nutrition, 649 ," 7,15,121 "
01-Dec-20,Marketplace,AMAZON,TRIPHALA JUICE 1 L,Juices, 910 ," 2,21,417 "
01-Dec-20,Marketplace,AMAZON,TULSI GILOY JUICE 1 L,Juices," 3,410 "," 11,06,203 "
01-Dec-20,Marketplace,AMAZON,WHEAT GRASS JUICE 1 L,Juices," 1,890 "," 7,66,582 "
01-Dec-20,Marketplace,Big Basket,ALOE VERA JUICE 1 L,Juices, 896 ," 1,54,341 "
01-Dec-20,Marketplace,Big Basket,AMLA JUICE 1 L,Juices, 732 ," 1,04,677 "
01-Dec-20,Marketplace,Flipkart,ALOE + GARCINIA JUICE 1 L,Juices, 828 ," 3,68,314 "
01-Dec-20,Marketplace,Flipkart,AMLA JUICE 1 L,Juices, 532 ," 1,09,846 "
01-Dec-20,Marketplace,Flipkart,GET SLIM JUICE 1 L,Juices," 1,202 "," 4,19,873 "
01-Dec-20,D2C,D2C,ALOE + GARCINIA JUICE 1 L,Juices," 2,887 "," 15,87,850 "
01-Dec-20,D2C,D2C,GET SLIM JUICE 1 L,Juices," 1,798 "," 7,55,160 "
01-Dec-20,D2C,D2C,HIMALAYA OIL 20 GRMS,Functional nutrition," 1,175 "," 17,62,500 "
01-Dec-20,D2C,D2C,VIGOR MAX JUICE 1 L,Juices, 688 ," 3,44,000 "
01-Dec-20,Offline,Offline - Central,ORGANIC JAGGERY POWDER 500 GRAMS,Gourmet Nutrition," 5,472 "," 3,29,797 "
01-Dec-20,Offline,Offline - East,ALOE VERA SKIN GEL 150 GM,Gourmet Nutrition," 1,444 "," 1,05,382 "
01-Dec-20,Offline,Offline - East,APPLE CIDER VINEGAR500 grams,Functional nutrition, 624 ," 1,10,080 "
01-Dec-20,Offline,Offline - East,ORGANIC JAGGERY POWDER 500 GRAMS,Gourmet Nutrition," 2,256 "," 1,35,969 "
01-Dec-20,Offline,Offline - East,VIRGIN COCONUT OIL 250 ML,Gourmet Nutrition, 528 ," 78,747 "
01-Dec-20,Offline,Offline - MT,ALOE VERA JUICE 1 L,Juices," 2,369 "," 3,68,625 "
01-Dec-20,Offline,Offline - MT,ALOE VERA SKIN GEL 150 GM,Gourmet Nutrition," 1,548 "," 1,08,297 "
01-Dec-20,Offline,Offline - MT,AMLA JUICE 1 L,Juices," 3,150 "," 4,09,922 "
01-Dec-20,Offline,Offline - MT,APPLE CIDER VINEGAR500 grams,Functional nutrition," 1,152 "," 1,99,428 "
01-Dec-20,Offline,Offline - MT,KARELA JAMUN JUICE 1 L,Juices," 1,500 "," 2,70,367 "
01-Dec-20,Offline,Offline - MT,ORGANIC JAGGERY POWDER 500 GRAMS,Gourmet Nutrition, 918 ," 55,580 "
01-Dec-20,Offline,Offline - MT,TULSI GILOY JUICE 1 L,Juices," 1,314 "," 3,01,370 "
01-Dec-20,Offline,Offline - MT,WHEAT GRASS JUICE 1 L,Juices," 1,680 "," 4,81,987 "
01-Dec-20,Offline,Offline -North,ALOE VERA SKIN GEL 150 GM,Gourmet Nutrition, 864 ," 63,082 "
01-Dec-20,Offline,Offline -North,ORGANIC JAGGERY POWDER 500 GRAMS,Gourmet Nutrition, 912 ," 54,966 "
01-Dec-20,Offline,Offline - South,ALOE VERA JUICE 1 L,Juices, 852 ," 1,32,958 "
01-Dec-20,Offline,Offline - South,ALOE VERA SKIN GEL 150 GM,Gourmet Nutrition," 3,871 "," 2,83,524 "
01-Dec-20,Offline,Offline - South,AMLA JUICE 1 L,Juices, 636 ," 82,347 "
01-Dec-20,Offline,Offline - South,KARELA JAMUN JUICE 1 L,Juices, 672 ," 1,18,659 "
01-Dec-20,Offline,Offline - South,MASALA SUPERGRAIN MIX ENERGY 380 GM ( OFFLINE),Functional nutrition, 864 ," 1,52,347 "
01-Dec-20,Offline,Offline - South,MASALA SUPERGRAIN MIX IMMUNITY 400 GM ( OFFLINE),Functional nutrition, 840 ," 1,48,116 "
01-Dec-20,Offline,Offline - South,ORGANIC JAGGERY POWDER 500 GRAMS,Gourmet Nutrition," 2,816 "," 1,69,720 "
01-Dec-20,Offline,Offline - South,VIRGIN COCONUT OIL 250 ML,Gourmet Nutrition," 1,260 "," 1,87,603 "
01-Dec-20,Offline,Offline - West,ALOE + GARCINIA JUICE 1 L,Juices, 648 ," 2,10,282 "
01-Dec-20,Offline,Offline - West,ALOE VERA JUICE 1 L,Juices, 887 ," 1,38,684 "
01-Dec-20,Offline,Offline - West,ALOE VERA SKIN GEL 150 GM,Gourmet Nutrition," 4,656 "," 3,39,971 "
01-Dec-20,Offline,Offline - West,ALOE VERA SKIN GEL 500 GM,Gourmet Nutrition, 612 ," 1,95,372 "
01-Dec-20,Offline,Offline - West,AMLA JUICE 1 L,Juices," 1,428 "," 1,85,366 "
01-Dec-20,Offline,Offline - West,APPLE CIDER VINEGAR500 grams,Functional nutrition," 2,424 "," 4,27,604 "
01-Dec-20,Offline,Offline - West,GET SLIM JUICE 1 L,Juices, 516 ," 1,26,437 "
01-Dec-20,Offline,Offline - West,KARELA JAMUN JUICE 1 L,Juices, 797 ," 1,41,073 "
01-Dec-20,Offline,Offline - West,MASALA SUPERGRAIN MIX ENERGY 380 GM ( OFFLINE),Functional nutrition, 696 ," 1,22,699 "
01-Dec-20,Offline,Offline - West,MASALA SUPERGRAIN MIX IMMUNITY 400 GM ( OFFLINE),Functional nutrition, 696 ," 1,22,699 "
01-Dec-20,Offline,Offline - West,ORGANIC JAGGERY POWDER 500 GRAMS,Gourmet Nutrition," 3,696 "," 2,22,758 "
